name,category,description,stars,url
electron-pos-printer,TypeScript,"Electron-pos-printer is a plugin that works to ease paper formatting and printing to thermal printers. it currently supports 80mm, 78mm, 76mm, 58mm, 57mm and 44mm printers thermal printers. it is b…",330,https://github.com/Hubertformin/electron-pos-printer
elpscrk,Python,"An Intelligent wordlist generator based on user profiling, permutations, and statistics. (Named after the same tool in Mr.Robot series S01E01)",818,https://github.com/D4Vinci/elpscrk
Emotion-recognition,Python,Real time emotion recognition,1112,https://github.com/otaha178/Emotion-recognition
emotion-recognition-using-speech,Python,"Building and training Speech Emotion Recognizer that predicts human emotions using Python, Sci-kit learn and Keras",607,https://github.com/x4nth055/emotion-recognition-using-speech
esp32-c3-mini,C,LVGL UI for ESP32 C3 mini 240*240 board (ESP32-2424S012),308,https://github.com/fbiego/esp32-c3-mini
fastapi-mongo,Python,Template for building FastAPI applications with MongoDB.,510,https://github.com/Youngestdev/fastapi-mongo
Fawn,JavaScript,Transactions for MongoDB (See the README),485,https://github.com/e-oj/Fawn
FilelessPELoader,C++,"Loading Remote AES Encrypted PE in memory , Decrypted it and run it",914,https://github.com/SaadAhla/FilelessPELoader
FileX,Dart,Simple File Explorer made with Flutter(WIP),477,https://github.com/JideGuru/FileX
flutter_advance,Dart,"A collection of custom/advanced Flutter design, animations and UI",451,https://github.com/cscoderr/flutter_advance
flutter_zoom_drawer,Dart,A Flutter package with custom implementation of Drawer,467,https://github.com/medyas/flutter_zoom_drawer
FlutterEbookApp,Dart,A simple Flutter app to Read and Download eBooks.,3156,https://github.com/JideGuru/FlutterEbookApp
FlutterFoodybite,Dart,Flutter representation of a Restaurant app UI.,1644,https://github.com/JideGuru/FlutterFoodybite
FlutterFurnitureAppUI,Dart,Flutter representation of a furniture app UI,509,https://github.com/JideGuru/FlutterFurnitureAppUI
flutter-open-ui,C++,"Flutter open-source project that's all about pushing the boundaries of User Interfaces! 🌟✨ If you're a Flutter enthusiast or just someone who appreciates stunning UI/UX, this project is tailor-mad…",487,https://github.com/yunweneric/flutter-open-ui
FlutterSocialAppUIKit,Dart,Flutter representation of a Social App Concept.,1943,https://github.com/JideGuru/FlutterSocialAppUIKit
flutter-spy,Shell,"Explore, analyze, and gain valuable data & insights from reverse engineered Flutter apps.",595,https://github.com/anasfik/flutter-spy
FlutterTravel,Dart,Flutter representation of a Travel App Concept.,1142,https://github.com/JideGuru/FlutterTravel
flutter-ui-kits,Dart,Free Flutter UI Kits developed by Olayemi Garuba,1381,https://github.com/olayemii/flutter-ui-kits
foo_openlyrics,C++,An open-source lyric display panel for foobar2000,473,https://github.com/jacquesh/foo_openlyrics
foodybite,Dart,A beautiful restaurant app with great and exquisite UI for foodies.,323,https://github.com/david-legend/foodybite
Formation,Python,Tools for building gorgeous graphical user interfaces in tkinter,303,https://github.com/ObaraEmmanuel/Formation
Framer-ground,TypeScript,"Elevate your web projects with fine, small animated components.",339,https://github.com/code-env/Framer-ground
fsociety,Python,fsociety Hacking Tools Pack – A Penetration Testing Framework,10894,https://github.com/Manisso/fsociety
git-recall,Shell,An interactive way to peruse your git history from the terminal,2118,https://github.com/Fakerr/git-recall
gocc,Go,Parser / Scanner Generator,625,https://github.com/goccmack/gocc
google_map_location_picker,Dart,🌍 Map location picker component for flutter Based on google_maps_flutter,206,https://github.com/humazed/google_map_location_picker
goph,Go,🤘 The native golang ssh client to execute your commands over ssh connection. 🚀🚀,1813,https://github.com/melbahja/goph
got,Go,Got: Simple golang package and CLI tool to download large files faster 🏃 than cURL and Wget!,730,https://github.com/melbahja/got
hackertab.dev,TypeScript,A Chrome 🌐 & Firefox 🦊 extension to discover the latest developer news and tools in one tab!,646,https://github.com/medyo/hackertab.dev
HBRecorder,Java,Lightweight screen recording Android library,450,https://github.com/HBiSoft/HBRecorder
hubert,Python,HuBERT content encoders for: A Comparison of Discrete and Soft Speech Units for Improved Voice Conversion,344,https://github.com/bshall/hubert
IRust,Rust,Cross Platform Rust Repl,650,https://github.com/sigmaSd/IRust
ishell,Go,Library for creating interactive cli applications.,1708,https://github.com/abiosoft/ishell
jiffy,Dart,"Jiffy is a Flutter (Android, IOS and Web) date time package for parsing, manipulating, querying and formatting dates",606,https://github.com/jama5262/jiffy
jira_clone,Vue,A Jira clone built with Vuejs & Nodejs/Graphql,933,https://github.com/Datlyfe/jira_clone
Jumper,Lua,"Fast, lightweight and easy-to-use pathfinding library for grid-based games",624,https://github.com/Yonaba/Jumper
kill-port,JavaScript,❌ Kill the process running on given port,524,https://github.com/tiaanduplessis/kill-port
knn-vc,Python,Voice Conversion With Just Nearest Neighbors,474,https://github.com/bshall/knn-vc
Ksoup,Kotlin,"Ksoup is a lightweight Kotlin Multiplatform library for parsing HTML, extracting HTML tags, attributes, and text, and encoding and decoding HTML entities.",407,https://github.com/MohamedRejeb/Ksoup
kui-laravel-breeze,JavaScript,Different UI for laravel/breeze.,334,https://github.com/Kamona-WD/kui-laravel-breeze
kwd-dashboard,HTML,Fully responsive dashboard template built with tailwindcss & alpinejs,672,https://github.com/Kamona-WD/kwd-dashboard
LaravelInstaller,PHP,A web installer for Laravel,1941,https://github.com/rashidlaasri/LaravelInstaller
laravel-paypalpayment,PHP,"Laravel paypal payment package , help you process credit card payment using paypal api",335,https://github.com/anouarabdsslm/laravel-paypalpayment
laravel-trix,PHP,Configurable Basecamp Trix Editor (WYSIWYG) delivered to your laravel application,530,https://github.com/amaelftah/laravel-trix
lla,Rust,blazing fast `ls` replacement with superpowers,961,https://github.com/chaqchase/lla
luar,Go,luar is a Go package for conveniently working with the luago Lua bindings. Arbitrary Go functions can be registered,302,https://github.com/stevedonovan/luar
lumen-generators,PHP,A collection of generators for Lumen and Laravel 5.,353,https://github.com/webNeat/lumen-generators
macbook12-spi-driver,C,"WIP input driver for the SPI touchpad / keyboard found in the 12"" MacBook (MacBook8,1 + MacBook9,1)",303,https://github.com/cb22/macbook12-spi-driver
Magic-Grid,JavaScript,"A simple, lightweight Javascript library for dynamic grid layouts.",3154,https://github.com/e-oj/Magic-Grid
mangayomi,Dart,"Free and open source application for reading manga, novels, and watching animes available on Android, iOS, macOS, Linux and Windows",1953,https://github.com/kodjodevf/mangayomi
MARA_Framework,Python,MARA is a Mobile Application Reverse engineering and Analysis Framework. It is a toolkit that puts together commonly used mobile application reverse engineering and analysis tools to assist in test…,633,https://github.com/xtiankisutsa/MARA_Framework
menu_flutter,Dart,🍝 restaurant menu app made with flutter inspired by this design https://goo.gl/jChLBV,622,https://github.com/braulio94/menu_flutter
MIBadgeButton-Swift,Swift,iOS custom badge button.,342,https://github.com/mustafaibrahim989/MIBadgeButton-Swift
Mini-Inventory-and-Sales-Management-System,PHP,An Inventory and Sales Management System written in PHP (codeIgniter) with support for MySQL and Sqlite3 databases,522,https://github.com/amirsanni/Mini-Inventory-and-Sales-Management-System
minimus,HTML,🌦️ A fully featured production ready Angular weather app (tutorial),628,https://github.com/hamedbaatour/minimus
mittsu,Ruby,3D Graphics Library for Ruby.,527,https://github.com/danini-the-panini/mittsu
Moses,Lua,Utility library for functional programming in Lua,635,https://github.com/Yonaba/Moses
Mozart,Jupyter,An optical music recognition (OMR) system. Converts sheet music to a machine-readable version.,641,https://github.com/aashrafh/Mozart
mpvKt,Kotlin,"A media player for android, based on mpv-android and built with Jetpack Compose.",810,https://github.com/abdallahmehiz/mpvKt
multi-container-nginx-react-node-mongo,HCL,"Multi container application with Nginx, React, Node and Mongo DB. This repository also contains Terraform IaC (Infrastructure as Code) for a CICD pipeline to build and push images to DockerHub.",373,https://github.com/LukeMwila/multi-container-nginx-react-node-mongo
MultiLoader-Template,Java,A template for a Forge + Fabric project setup using a Common source set.,422,https://github.com/jaredlll08/MultiLoader-Template
music-player,Rust,An extensible music server written in Rust 🚀🎵✨,442,https://github.com/tsirysndr/music-player
muzika,TypeScript,Elegant music streaming app,310,https://github.com/vixalien/muzika
MyBrain,Kotlin,"All-in-one productivity app and AI assistant with Tasks, Notes, Calendar, Diary and Bookmarks.",1452,https://github.com/mhss1/MyBrain
neohtop,Svelte,"💪🏻 Blazing-fast system monitoring for your desktop (built with Rust, Tauri & Svelte)",5711,https://github.com/Abdenasser/neohtop
NetherSX2-patch,HTML,Unofficial Patches for NetherSX2,1047,https://github.com/Trixarian/NetherSX2-patch
NexoPOS,PHP,"The base version of NexoPOS, which is a web-Based Point Of Sale (POS) System build with Laravel, TailwindCSS, and Vue.Js.",975,https://github.com/Blair2004/NexoPOS
nexusjs,C++,Nexus.js - The next-gen JavaScript platform,1077,https://github.com/voodooattack/nexusjs
nginx-ultimate-bad-bot-blocker,Shell,"Nginx Block Bad Bots, Spam Referrer Blocker, Vulnerability Scanners, User-Agents, Malware, Adware, Ransomware, Malicious Sites, with anti-DDOS, Wordpress Theme Detector Blocking and Fail2Ban Jail f…",4205,https://github.com/mitchellkrogza/nginx-ultimate-bad-bot-blocker
nordic.nvim,Lua,"🌒 Nord for Neovim, but warmer and darker. Supports a variety of plugins and other platforms.",810,https://github.com/AlexvZyl/nordic.nvim
Notepad3,C++,Notepad like text editor based on the Scintilla source code. Notepad3 based on code from Notepad2 and MiniPath on code from metapath. Download Notepad3:,5382,https://github.com/rizonesoft/Notepad3
nudelta,JavaScript,Open source NuPhy Console alternative,541,https://github.com/donn/nudelta
obsidian-spaced-repetition,TypeScript,Fight the forgetting curve by reviewing flashcards & entire notes on Obsidian,1755,https://github.com/st3v3nmw/obsidian-spaced-repetition
OnBoardingScreen,Kotlin,create animated onboarding or welcome screen with MotionLayout,511,https://github.com/OmneyaOsman/OnBoardingScreen
openai,Dart,"Dart/Flutter SDK for ChatGPT and all OpenAI APIs (GPT, Dall-e..)",613,https://github.com/anasfik/openai
Orin,Java,"Fork of @kabouzied Phonograph, I always wanted to try my hands on Tunzo's material design music player concept which can be found here: https://www.uplabs.com/posts/a-music-player-in-material-desig…",578,https://github.com/aliumujib/Orin
OTE,C,OSINT Template Engine,534,https://github.com/3nock/OTE
PercentageChartView,Java,An Android custom view that displays the progress of an ongoing task.,375,https://github.com/RamiJ3mli/PercentageChartView
petit-dom,JavaScript,minimalist virtual dom library,510,https://github.com/yelouafi/petit-dom
pglite-fusion,Nix,Embed an SQLite database in your PostgreSQL table. AKA multitenancy has been solved.,766,https://github.com/frectonz/pglite-fusion
playlistor,Python,🎶Apple Music ↔️ Spotify playlist convertor.,532,https://github.com/akornor/playlistor
plotnine,Python,A Grammar of Graphics for Python,4131,https://github.com/has2k1/plotnine
Pokedex,Kotlin,"Pokedex - a Kotlin Multiplatform app, built with Compose multiplatform, Coroutines, Flow, Koin, Ktor, SqlDelight, Decompose, MVIKotlin, and Material 3 based on MVI architecture",727,https://github.com/MohamedRejeb/Pokedex
prisma-redis-middleware,TypeScript,Prisma Middleware for caching queries in Redis,363,https://github.com/Asjas/prisma-redis-middleware
project-mulla,JavaScript,Talk to MPESA API via a REST API. Bringing the MPESA G2 API to the 21st century. --,300,https://github.com/kn9ts/project-mulla
pro-sidebar-template,HTML,Responsive layout with advanced sidebar menu built with SCSS and vanilla Javascript,980,https://github.com/azouaoui-med/pro-sidebar-template
PS4_Tools,Java,Collection Of Open Source PS4 Tools all in one Library All Written in C#,306,https://github.com/xXxTheDarkprogramerxXx/PS4_Tools
psl,PHP,"📚 PHP Standard Library - a modern, consistent, centralized, well-typed, non-blocking set of APIs for PHP programmers",1263,https://github.com/azjezz/psl
pyan,Python,pyan is a Python module that performs static analysis of Python code to determine a call dependency graph between functions and methods. This is different from running the code and seeing which fun…,663,https://github.com/davidfraser/pyan
pyarabic,Python,pyarabic,458,https://github.com/linuxscout/pyarabic
python-gsmmodem,Python,"Python module to control a GSM modem attached to the system: send/receive SMS messages, handle calls, etc",391,https://github.com/faucamp/python-gsmmodem
QT-PyQt-PySide-Custom-Widgets,Python,Awesome custom widgets made for QT Desktop Applications. Simplify your UI development process. These widgets can be used in QT Designer then imported to PySide code.,849,https://github.com/KhamisiKibet/QT-PyQt-PySide-Custom-Widgets
QuickApp,TypeScript,"ASP.NET Core / Angular startup project template with complete login, user and role management. Plus other useful services for Quick Application Development",1284,https://github.com/emonney/QuickApp
Rcrawler,R,An R web crawler and scraper,353,https://github.com/salimk/Rcrawler
reactjs-popup,TypeScript,"React Popup Component - Modals,Tooltips and Menus —  All in one",1807,https://github.com/yjose/reactjs-popup
react-native-ml-kit,Java,React Native On-Device Machine Learning w/ Google ML Kit,454,https://github.com/a7medev/react-native-ml-kit
react-pro-sidebar,TypeScript,React Pro Sidebar provides a set of components for creating high level and customizable side navigation,1766,https://github.com/azouaoui-med/react-pro-sidebar
react-tailwindcss-datepicker,TypeScript,Modern date range picker component for React using Tailwind 3 and dayjs. Alternative to Litepie Datepicker.,578,https://github.com/onesine/react-tailwindcss-datepicker
reporter,Go,Service that generates a PDF report from a Grafana dashboard,987,https://github.com/IzakMarais/reporter
responsive_builder,Dart,A set of widgets to make responsive UI building in flutter more readable,505,https://github.com/FilledStacks/responsive_builder
rpi_lcars,Python,Star Trek LCARS interface for Raspberry Pi using Pygame,669,https://github.com/tobykurien/rpi_lcars
scaffold-interface,PHP,🚀 A Smart CRUD Generator For Laravel,916,https://github.com/amranidev/scaffold-interface
ScholarXIV,Dart,"ScholArxiv is an open-source, aesthetic, minimal and AI powered app that allows users to search, read, bookmark, share, download and view summaries of academic papers from the arXiv repository.",852,https://github.com/dagmawibabi/ScholarXIV
Scrapling,Python,"🕷️ Undetectable, Lightning-Fast, and Adaptive Web Scraping for Python",2671,https://github.com/D4Vinci/Scrapling
seo,PHP,🐘 Simple PHP library to help developers 🍻 do better on-page SEO optimization 🤖,326,https://github.com/melbahja/seo
serpl,Rust,"A simple terminal UI for search and replace, ala VS Code.",610,https://github.com/yassinebridi/serpl
shadcn-extension,TypeScript,"An open source component collection , that extends your ui library , built using shadcn component",1083,https://github.com/BelkacemYerfa/shadcn-extension
sheldon,Rust,"Fast, configurable, shell plugin manager",1115,https://github.com/rossmacarthur/sheldon
Shell,C++,Powerful context menu manager for Windows File Explorer,4449,https://github.com/moudey/Shell
smtp2http,Go,A tiny software that receive a smtp request (email) and send it to the specified webhook as a http post request,526,https://github.com/alash3al/smtp2http
solargraph-rails,Ruby,Solargraph plugin to add awareness of Rails-specific code,326,https://github.com/iftheshoefritz/solargraph-rails
spark-ui,TypeScript,"Experience The Magic Of Animated Components. Crafted With Vue, TypeScript, TailwindCss And Vueuse Motion ✨",553,https://github.com/selemondev/spark-ui
sqler,Go,"write APIs using direct SQL queries with no hassle, let's rethink about SQL",2078,https://github.com/alash3al/sqler
sql-studio,Rust,"SQL Database Explorer [SQLite, libSQL, PostgreSQL, MySQL/MariaDB, DuckDB, ClickHouse, Microsoft SQL Server]",2569,https://github.com/frectonz/sql-studio
stackedit,JavaScript,In-browser Markdown editor,22006,https://github.com/benweet/stackedit
stackedit.js,JavaScript,Add StackEdit to any website,1107,https://github.com/benweet/stackedit.js
StateViews,Java,"Create & Show progress, data or error views, the easy way!",373,https://github.com/medyo/StateViews
story_view,Dart,Story view for apps with stories.,447,https://github.com/blackmann/story_view
student-management-using-django,Python,A Student Management System Created Using Django,327,https://github.com/jobic10/student-management-using-django
Sublist3r,Python,Fast subdomains enumeration tool for penetration testers,10126,https://github.com/aboul3la/Sublist3r
tailwind-tools.nvim,Lua,An unofficial Tailwind CSS integration and tooling for Neovim,475,https://github.com/luckasRanarison/tailwind-tools.nvim
TcNo-Acc-Switcher,C#,"A Super-fast account switcher for Steam, Battle.net, Epic Games, Origin, Riot, Ubisoft and many others!",1882,https://github.com/TCNOco/TcNo-Acc-Switcher
textbee,TypeScript,textbee.dev is an opensource and free sms-gatway for sending SMS messages through API or dashboard web interface.,1138,https://github.com/vernu/textbee
topy,Python,Topology Optimization using Python,500,https://github.com/williamhunter/topy
transformers-php,PHP,Transformers PHP is a toolkit for PHP developers to add machine learning magic to their projects easily.,611,https://github.com/CodeWithKyrian/transformers-php
UIElements,C#,Various scripts related to Unity UI Toolkit (UIElements).,377,https://github.com/plyoung/UIElements
UltimateStarterKit,C++,The Ultimate Starter Kit plugin to speed up development of Unreal Engine games,324,https://github.com/hfjooste/UltimateStarterKit
URP-LWRP-Shaders,ShaderLab,A Collection of Shader For URP(LWRP) Render Pipeline,652,https://github.com/marcozakaria/URP-LWRP-Shaders
utron,Go,A lightweight MVC framework for Go(Golang),2219,https://github.com/gernest/utron
vee-validate,TypeScript,✅ Painless Vue forms,10936,https://github.com/logaretm/vee-validate
Venocyber-md,JavaScript,Introducing Venocyber md bot your personal chuddybuddy md you were looking for this is most powerful Whatsapp chat bot created to ensure your WhatsApp personal requirements you are all in one ✍️👋👋,370,https://github.com/Kingjux/Venocyber-md
Video-Call-App-NodeJS,JavaScript,"A conference call implementation using WebRTC, Socket.io and Node.js",665,https://github.com/amirsanni/Video-Call-App-NodeJS
villus,TypeScript,🏎 A tiny and fast GraphQL client for Vue.js,805,https://github.com/logaretm/villus
vps-audit,Shell,"lightweight, dependency-free bash script for security, performance auditing and infrastructure monitoring of Linux servers.",1123,https://github.com/vernu/vps-audit
wasm_nvim,Rust,Wasm platform for nvim.,307,https://github.com/Borwe/wasm_nvim
wenk,CSS,😉 Lightweight pure CSS tooltip for the greater good,689,https://github.com/tiaanduplessis/wenk
WinPaletter,C#,Advanced Windows Appearance Editor,1424,https://github.com/Abdelrhman-AK/WinPaletter
WooCommerce-REST-API-Client-Library,PHP,A PHP wrapper for the WooCommerce REST API,356,https://github.com/kloon/WooCommerce-REST-API-Client-Library
wordpress-social-login,PHP,WordPress Social Login,399,https://github.com/miled/wordpress-social-login
wow,Go,😮❗❗ Wow❗ now my Go commandline app is spinning with 🌈 and 🐴,511,https://github.com/gernest/wow
xtra,Rust,🎭 A tiny actor framework,331,https://github.com/Restioson/xtra
yaldash,PHP,👻 It's never been easier to build and customize admin panels. Yah! yaldash is a beautifully designed administration panel for Laravel.,403,https://github.com/getspooky/yaldash
yorlang,JavaScript,A programming language with yoruba language construct,451,https://github.com/anoniscoding/yorlang
zune-image,Rust,A fast and memory efficient image library in Rust,364,https://github.com/etemesi254/zune-image
